Onset in Beats,Durations in Beats,Voice,Pitch (C4=60),Velocity,Onset in Seconds,Durations in Seconds
4.5,0.235416667,1,72,64,2.25,0.117708333
4.75,0.235416667,1,71,64,2.375,0.117708333
5,0.472916667,1,72,64,2.5,0.236458333
5.5,0.472916667,1,67,64,2.75,0.236458333
6,0.472916667,1,68,64,3,0.236458333
6.5,0.235416667,1,72,64,3.25,0.117708333
6.75,0.235416667,1,71,64,3.375,0.117708333
7,0.472916667,1,72,64,3.5,0.236458333
7.5,0.472916667,1,74,64,3.75,0.236458333
8,0.472916667,1,67,64,4,0.236458333
8.5,0.235416667,1,72,64,4.25,0.117708333
8.75,0.235416667,1,71,64,4.375,0.117708333
9,0.472916667,1,72,64,4.5,0.236458333
9.5,0.472916667,1,74,64,4.75,0.236458333
10,0.235416667,1,65,64,5,0.117708333
10.25,0.235416667,1,67,64,5.125,0.117708333
10.5,0.947916667,1,68,64,5.25,0.473958333
11.5,0.235416667,1,67,64,5.75,0.117708333
11.75,0.235416667,1,65,64,5.875,0.117708333
12,0.235416667,1,63,64,6,0.117708333
12.25,0.235416667,1,72,64,6.125,0.117708333
12.5,0.235416667,0,79,64,6.25,0.117708333
12.5,0.235416667,1,71,64,6.25,0.117708333
12.75,0.235416667,0,78,64,6.375,0.117708333
12.75,0.235416667,1,69,64,6.375,0.117708333
13,0.472916667,0,79,64,6.5,0.236458333
13,0.235416667,1,67,64,6.5,0.117708333
13.25,0.235416667,1,65,64,6.625,0.117708333
13.5,0.472916667,0,72,64,6.75,0.236458333
13.5,0.235416667,1,63,64,6.75,0.117708333
13.75,0.235416667,1,62,64,6.875,0.117708333
14,0.472916667,0,75,64,7,0.236458333
14,0.472916667,1,60,64,7,0.236458333
14.5,0.235416667,0,79,64,7.25,0.117708333
14.5,0.472916667,1,75,64,7.25,0.236458333
14.75,0.235416667,0,78,64,7.375,0.117708333
15,0.472916667,0,79,64,7.5,0.236458333
15,0.472916667,1,74,64,7.5,0.236458333
15.5,0.472916667,0,81,64,7.75,0.236458333
15.5,0.472916667,1,72,64,7.75,0.236458333
16,0.472916667,0,74,64,8,0.236458333
16,0.472916667,1,70,64,8,0.236458333
16.5,0.235416667,0,79,64,8.25,0.117708333
16.5,0.472916667,1,69,64,8.25,0.236458333
16.75,0.235416667,0,78,64,8.375,0.117708333
17,0.472916667,0,79,64,8.5,0.236458333
17,0.472916667,1,70,64,8.5,0.236458333
17.5,0.472916667,0,81,64,8.75,0.236458333
17.5,0.472916667,1,72,64,8.75,0.236458333
18,0.235416667,0,72,64,9,0.117708333
18,0.472916667,1,66,64,9,0.236458333
18.25,0.235416667,0,74,64,9.125,0.117708333
18.5,0.947916667,0,75,64,9.25,0.473958333
18.5,0.472916667,1,67,64,9.25,0.236458333
19,0.472916667,1,69,64,9.5,0.236458333
19.5,0.235416667,0,74,64,9.75,0.117708333
19.5,0.472916667,1,66,64,9.75,0.236458333
19.75,0.235416667,0,72,64,9.875,0.117708333
20,0.472916667,0,70,64,10,0.236458333
20,0.947916667,1,67,64,10,0.473958333
20.5,0.235416667,0,75,64,10.25,0.117708333
20.75,0.235416667,0,74,64,10.375,0.117708333
21,0.472916667,0,75,64,10.5,0.236458333
21.25,0.235416667,1,60,64,10.625,0.117708333
21.5,0.472916667,0,67,64,10.75,0.236458333
21.5,0.235416667,1,62,64,10.75,0.117708333
21.75,0.235416667,1,63,64,10.875,0.117708333
22,0.472916667,0,68,64,11,0.236458333
22,0.235416667,1,65,64,11,0.117708333
22.25,0.235416667,1,67,64,11.125,0.117708333
22.5,0.235416667,0,77,64,11.25,0.117708333
22.5,0.710416667,1,68,64,11.25,0.355208333
22.75,0.235416667,0,75,64,11.375,0.117708333
23,0.472916667,0,77,64,11.5,0.236458333
23.25,0.235416667,1,62,64,11.625,0.117708333
23.5,0.472916667,0,69,64,11.75,0.236458333
23.5,0.235416667,1,63,64,11.75,0.117708333
23.75,0.235416667,1,65,64,11.875,0.117708333
24,0.472916667,0,70,64,12,0.236458333
24,0.235416667,1,67,64,12,0.117708333
24.25,0.235416667,1,69,64,12.125,0.117708333
24.5,0.235416667,0,79,64,12.25,0.117708333
