Onset in Beats,Durations in Beats,Voice,Pitch (C4=60),Velocity,Onset in Seconds,Durations in Seconds
12.5,0.235416667,0,79,64,6.25,0.117708333
12.75,0.235416667,0,78,64,6.375,0.117708333
13,0.472916667,0,79,64,6.5,0.236458333
13.5,0.472916667,0,72,64,6.75,0.236458333
14,0.472916667,0,75,64,7,0.236458333
14.5,0.235416667,0,79,64,7.25,0.117708333
14.75,0.235416667,0,78,64,7.375,0.117708333
15,0.472916667,0,79,64,7.5,0.236458333
15.5,0.472916667,0,81,64,7.75,0.236458333
16,0.472916667,0,74,64,8,0.236458333
16.5,0.235416667,0,79,64,8.25,0.117708333
16.75,0.235416667,0,78,64,8.375,0.117708333
17,0.472916667,0,79,64,8.5,0.236458333
17.5,0.472916667,0,81,64,8.75,0.236458333
18,0.235416667,0,72,64,9,0.117708333
18.25,0.235416667,0,74,64,9.125,0.117708333
18.5,0.947916667,0,75,64,9.25,0.473958333
19.5,0.235416667,0,74,64,9.75,0.117708333
19.75,0.235416667,0,72,64,9.875,0.117708333
20,0.472916667,0,70,64,10,0.236458333
20.5,0.235416667,0,75,64,10.25,0.117708333
20.75,0.235416667,0,74,64,10.375,0.117708333
21,0.472916667,0,75,64,10.5,0.236458333
21.5,0.472916667,0,67,64,10.75,0.236458333
22,0.472916667,0,68,64,11,0.236458333
22.5,0.235416667,0,77,64,11.25,0.117708333
22.75,0.235416667,0,75,64,11.375,0.117708333
23,0.472916667,0,77,64,11.5,0.236458333
23.5,0.472916667,0,69,64,11.75,0.236458333
24,0.472916667,0,70,64,12,0.236458333
24.5,0.235416667,0,79,64,12.25,0.117708333
24.75,0.235416667,0,77,64,12.375,0.117708333
25,0.472916667,0,79,64,12.5,0.236458333
25.5,0.472916667,0,71,64,12.75,0.236458333
26,0.472916667,0,72,64,13,0.236458333
26.5,0.235416667,0,74,64,13.25,0.117708333
26.75,0.235416667,0,75,64,13.375,0.117708333
27,1.422916667,0,77,64,13.5,0.711458333
28.5,0.235416667,0,75,64,14.25,0.117708333
28.75,0.235416667,0,74,64,14.375,0.117708333
29,0.235416667,0,72,64,14.5,0.117708333
29.25,0.235416667,0,70,64,14.625,0.117708333
29.5,0.235416667,0,68,64,14.75,0.117708333
29.75,0.235416667,0,67,64,14.875,0.117708333
30,0.472916667,0,65,64,15,0.236458333
30.5,0.472916667,0,80,64,15.25,0.236458333
31,0.472916667,0,79,64,15.5,0.236458333
31.5,0.472916667,0,77,64,15.75,0.236458333
32,0.472916667,0,75,64,16,0.236458333
32.5,0.472916667,0,74,64,16.25,0.236458333
33,0.472916667,0,75,64,16.5,0.236458333
33.5,0.472916667,0,77,64,16.75,0.236458333
34,0.472916667,0,71,64,17,0.236458333
34.5,0.472916667,0,72,64,17.25,0.236458333
35,0.472916667,0,74,64,17.5,0.236458333
35.5,0.472916667,0,71,64,17.75,0.236458333
36,0.472916667,0,72,64,18,0.236458333
36.5,0.235416667,0,79,64,18.25,0.117708333
36.75,0.235416667,0,78,64,18.375,0.117708333
37,0.472916667,0,79,64,18.5,0.236458333
37.5,0.472916667,0,74,64,18.75,0.236458333
38,0.947916667,0,75,64,19,0.473958333
39.5,0.472916667,0,76,64,19.75,0.236458333
40,0.472916667,0,77,64,20,0.236458333
40.5,0.235416667,0,77,64,20.25,0.117708333
40.75,0.235416667,0,76,64,20.375,0.117708333
41,0.472916667,0,77,64,20.5,0.236458333
41.5,0.472916667,0,72,64,20.75,0.236458333
42,0.947916667,0,74,64,21,0.473958333
43.5,0.472916667,0,74,64,21.75,0.236458333
44,0.472916667,0,75,64,22,0.236458333
44.5,0.235416667,0,75,64,22.25,0.117708333
44.75,0.235416667,0,74,64,22.375,0.117708333
45,0.472916667,0,75,64,22.5,0.236458333
45.5,0.472916667,0,70,64,22.75,0.236458333
46,0.472916667,0,72,64,23,0.236458333
46.5,0.235416667,0,75,64,23.25,0.117708333
46.75,0.235416667,0,74,64,23.375,0.117708333
47,0.472916667,0,75,64,23.5,0.236458333
47.5,0.472916667,0,77,64,23.75,0.236458333
48,0.472916667,0,70,64,24,0.236458333
48.5,0.235416667,0,75,64,24.25,0.117708333
48.75,0.235416667,0,74,64,24.375,0.117708333
49,0.472916667,0,75,64,24.5,0.236458333
49.5,0.472916667,0,77,64,24.75,0.236458333
50,0.235416667,0,68,64,25,0.117708333
50.25,0.235416667,0,70,64,25.125,0.117708333
50.5,0.947916667,0,72,64,25.25,0.473958333
51.5,0.235416667,0,70,64,25.75,0.117708333
51.75,0.235416667,0,68,64,25.875,0.117708333
52,0.235416667,0,67,64,26,0.117708333
52.25,0.235416667,0,63,64,26.125,0.117708333
52.5,0.235416667,0,65,64,26.25,0.117708333
52.75,0.235416667,0,67,64,26.375,0.117708333
53,0.235416667,0,68,64,26.5,0.117708333
53.25,0.235416667,0,70,64,26.625,0.117708333
53.5,0.235416667,0,72,64,26.75,0.117708333
53.75,0.235416667,0,74,64,26.875,0.117708333
54,0.235416667,0,75,64,27,0.117708333
54.25,0.235416667,0,74,64,27.125,0.117708333
54.5,0.235416667,0,72,64,27.25,0.117708333
54.75,0.235416667,0,74,64,27.375,0.117708333
55,0.235416667,0,75,64,27.5,0.117708333
55.25,0.235416667,0,77,64,27.625,0.117708333
55.5,0.235416667,0,79,64,27.75,0.117708333
55.75,0.235416667,0,81,64,27.875,0.117708333
56,0.235416667,0,82,64,28,0.117708333
56.25,0.235416667,0,65,64,28.125,0.117708333
56.5,0.235416667,0,67,64,28.25,0.117708333
56.75,0.235416667,0,68,64,28.375,0.117708333
57,0.235416667,0,70,64,28.5,0.117708333
57.25,0.235416667,0,72,64,28.625,0.117708333
57.5,0.235416667,0,74,64,28.75,0.117708333
57.75,0.235416667,0,76,64,28.875,0.117708333
